epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.522,1.33611,2.87021,1.64364,0.57454,0.85,0.87817,0.63489,1.64855,1.07194,1.38313,0,0,0
2,19.6631,1.20416,2.69498,1.511,0.56574,0.85,0.8488,0.6319,1.64595,1.06188,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,24.7955,1.1601,3.63472,1.57315,0.55956,0.85,0.85083,0.61618,1.66648,1.06264,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,29.9056,1.27724,2.74093,1.38866,0.56026,0.85,0.84952,0.61586,1.66034,1.05513,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,35.0225,1.37198,3.08582,1.72634,0.5651,0.85,0.85526,0.63771,1.6585,1.04241,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,40.1326,1.56189,4.11494,1.96485,0.54414,0.85,0.8936,0.63825,1.68524,1.06002,1.37761,5.65548e-06,5.65548e-06,5.65548e-06
7,45.2279,1.13976,1.91386,1.41952,0.53944,0.85173,0.89406,0.64255,1.68389,1.06081,1.37699,6.71588e-06,6.71588e-06,6.71588e-06
8,50.3666,1.37612,4.02047,1.61443,0.55029,0.85949,0.85911,0.61257,1.64325,1.05889,1.3529,7.75273e-06,7.75273e-06,7.75273e-06
9,55.6111,1.11618,2.70469,1.41099,0.56884,0.86386,0.81827,0.59503,1.66472,1.06088,1.36335,8.76602e-06,8.76602e-06,8.76602e-06
