epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,209.922,0.64685,0.93624,1.0205,0.67388,0.69073,0.85257,0.56179,1.62598,1.48099,1.36621,2.82082e-05,2.82082e-05,2.82082e-05
40,214.913,0.80203,0.83805,1.16673,0.67388,0.69073,0.85257,0.56179,1.62598,1.48099,1.36621,2.84911e-05,2.84911e-05,2.84911e-05
41,220.004,0.75766,0.92638,1.06114,0.68205,0.66551,0.76929,0.48791,1.59609,1.49128,1.3581,2.87504e-05,2.87504e-05,2.87504e-05
42,225.071,0.88003,1.88424,1.27729,0.68205,0.66551,0.76929,0.48791,1.59609,1.49128,1.3581,2.89861e-05,2.89861e-05,2.89861e-05
43,230.183,0.84655,1.22204,1.22837,0.67827,0.65,0.76238,0.47306,1.62283,1.53073,1.38597,2.91983e-05,2.91983e-05,2.91983e-05
44,235.15,1.07498,0.98595,1.4513,0.67827,0.65,0.76238,0.47306,1.62283,1.53073,1.38597,2.93869e-05,2.93869e-05,2.93869e-05
45,240.293,0.61284,0.92556,0.99461,0.69173,0.65,0.76251,0.47229,1.61127,1.54723,1.38249,2.9552e-05,2.9552e-05,2.9552e-05
46,245.264,0.81886,0.99757,1.26847,0.69173,0.65,0.76251,0.47229,1.61127,1.54723,1.38249,2.96935e-05,2.96935e-05,2.96935e-05
47,250.392,0.88521,1.46282,1.36107,0.73614,0.65,0.7323,0.43907,1.62396,1.60349,1.38854,2.98114e-05,2.98114e-05,2.98114e-05
48,255.372,0.78691,1.63292,1.17201,0.73614,0.65,0.7323,0.43907,1.62396,1.60349,1.38854,2.99058e-05,2.99058e-05,2.99058e-05
49,260.476,0.67309,0.72338,1.24555,0.68187,0.65333,0.70529,0.41424,1.62538,1.62342,1.38957,2.99766e-05,2.99766e-05,2.99766e-05
50,265.437,0.80276,0.81179,1.29448,0.68187,0.65333,0.70529,0.41424,1.62538,1.62342,1.38957,3.00238e-05,3.00238e-05,3.00238e-05
51,270.535,0.85909,0.83785,1.15604,0.6567,0.67663,0.69629,0.40609,1.59392,1.63587,1.38255,3.00475e-05,3.00475e-05,3.00475e-05
52,275.485,0.97432,0.96877,1.34782,0.6567,0.67663,0.69629,0.40609,1.59392,1.63587,1.38255,3.00476e-05,3.00476e-05,3.00476e-05
53,280.487,0.64635,0.70091,1.17843,0.6567,0.67663,0.69629,0.40609,1.59392,1.63587,1.38255,3.00242e-05,3.00242e-05,3.00242e-05
54,285.648,0.78501,0.90239,1.23275,0.69093,0.67146,0.69636,0.4082,1.5791,1.67671,1.38305,2.99772e-05,2.99772e-05,2.99772e-05
55,290.611,0.80042,0.95259,1.1211,0.69093,0.67146,0.69636,0.4082,1.5791,1.67671,1.38305,2.99066e-05,2.99066e-05,2.99066e-05
56,295.649,1.09835,1.44643,1.58742,0.69093,0.67146,0.69636,0.4082,1.5791,1.67671,1.38305,2.98125e-05,2.98125e-05,2.98125e-05
57,301.261,0.94344,1.50129,1.374,0.72288,0.50344,0.69284,0.40375,1.58668,1.70834,1.39285,2.96948e-05,2.96948e-05,2.96948e-05
58,306.332,0.86468,1.45501,1.26651,0.72288,0.50344,0.69284,0.40375,1.58668,1.70834,1.39285,2.95535e-05,2.95535e-05,2.95535e-05
59,311.411,0.78127,0.8279,1.15366,0.72288,0.50344,0.69284,0.40375,1.58668,1.70834,1.39285,2.93887e-05,2.93887e-05,2.93887e-05
60,316.496,0.99688,0.77844,1.5458,0.85561,0.4812,0.67795,0.37421,1.612,1.77559,1.40957,2.92003e-05,2.92003e-05,2.92003e-05
61,321.479,0.63481,0.68131,1.06328,0.85561,0.4812,0.67795,0.37421,1.612,1.77559,1.40957,2.89884e-05,2.89884e-05,2.89884e-05
62,326.482,0.70042,0.89401,1.04551,0.85561,0.4812,0.67795,0.37421,1.612,1.77559,1.40957,2.87529e-05,2.87529e-05,2.87529e-05
63,331.626,0.76903,0.82388,1.15357,0.85529,0.47857,0.67726,0.37387,1.64206,1.85499,1.42656,2.84938e-05,2.84938e-05,2.84938e-05
64,336.612,0.62619,0.65342,1.06696,0.85529,0.47857,0.67726,0.37387,1.64206,1.85499,1.42656,2.82112e-05,2.82112e-05,2.82112e-05
65,341.593,0.66111,0.68309,1.21624,0.85529,0.47857,0.67726,0.37387,1.64206,1.85499,1.42656,2.7905e-05,2.7905e-05,2.7905e-05
66,346.693,0.68438,0.91644,1.0812,0.85195,0.47748,0.67714,0.37589,1.70617,1.91304,1.44791,2.75753e-05,2.75753e-05,2.75753e-05
67,351.672,0.73665,1.10961,1.10187,0.85195,0.47748,0.67714,0.37589,1.70617,1.91304,1.44791,2.7222e-05,2.7222e-05,2.7222e-05
68,356.66,1.04245,1.77386,1.40555,0.85195,0.47748,0.67714,0.37589,1.70617,1.91304,1.44791,2.68451e-05,2.68451e-05,2.68451e-05
69,361.81,0.64233,1.09609,1.12534,0.84143,0.4864,0.56788,0.28283,1.65481,1.95341,1.42089,2.64447e-05,2.64447e-05,2.64447e-05
70,366.799,0.97696,0.86668,1.42897,0.84143,0.4864,0.56788,0.28283,1.65481,1.95341,1.42089,2.60207e-05,2.60207e-05,2.60207e-05
71,371.778,0.94804,1.2887,1.31599,0.84143,0.4864,0.56788,0.28283,1.65481,1.95341,1.42089,2.55731e-05,2.55731e-05,2.55731e-05
72,376.892,0.59401,0.63834,1.07472,0.84035,0.4854,0.54131,0.27389,1.72339,2.00202,1.44547,2.5102e-05,2.5102e-05,2.5102e-05
73,381.862,0.68685,0.90566,1.04378,0.84035,0.4854,0.54131,0.27389,1.72339,2.00202,1.44547,2.46073e-05,2.46073e-05,2.46073e-05
74,386.865,0.72428,0.59465,1.219,0.84035,0.4854,0.54131,0.27389,1.72339,2.00202,1.44547,2.40891e-05,2.40891e-05,2.40891e-05
75,391.961,0.72862,0.55323,1.14084,0.84022,0.48259,0.54721,0.2685,1.77431,1.9955,1.46541,2.35472e-05,2.35472e-05,2.35472e-05
76,396.942,0.63407,0.73377,1.12757,0.84022,0.48259,0.54721,0.2685,1.77431,1.9955,1.46541,2.29819e-05,2.29819e-05,2.29819e-05
77,401.985,0.68071,0.65926,1.1116,0.84022,0.48259,0.54721,0.2685,1.77431,1.9955,1.46541,2.23929e-05,2.23929e-05,2.23929e-05
78,407.169,0.87364,1.00229,1.18483,0.83367,0.48818,0.54422,0.26805,1.73783,2.01436,1.44901,2.17805e-05,2.17805e-05,2.17805e-05
79,412.139,0.58983,0.74946,1.0842,0.83367,0.48818,0.54422,0.26805,1.73783,2.01436,1.44901,2.11444e-05,2.11444e-05,2.11444e-05
80,417.185,0.72194,0.7236,1.18074,0.83367,0.48818,0.54422,0.26805,1.73783,2.01436,1.44901,2.04848e-05,2.04848e-05,2.04848e-05
81,422.362,0.51217,0.50395,0.97368,0.84246,0.48006,0.53436,0.26405,1.77539,2.0572,1.47609,1.98016e-05,1.98016e-05,1.98016e-05
82,427.497,0.8074,0.6719,1.14311,0.84246,0.48006,0.53436,0.26405,1.77539,2.0572,1.47609,1.90949e-05,1.90949e-05,1.90949e-05
83,432.628,0.76647,0.82237,1.19675,0.84246,0.48006,0.53436,0.26405,1.77539,2.0572,1.47609,1.83646e-05,1.83646e-05,1.83646e-05
84,437.81,0.78337,0.56615,1.20381,0.84072,0.48419,0.53726,0.26773,1.82593,2.08611,1.50311,1.76107e-05,1.76107e-05,1.76107e-05
85,442.81,0.56575,0.72823,1.10838,0.84072,0.48419,0.53726,0.26773,1.82593,2.08611,1.50311,1.68333e-05,1.68333e-05,1.68333e-05
86,447.81,0.73524,0.6624,1.10095,0.84072,0.48419,0.53726,0.26773,1.82593,2.08611,1.50311,1.60323e-05,1.60323e-05,1.60323e-05
87,452.785,0.74993,0.79257,1.0497,0.84072,0.48419,0.53726,0.26773,1.82593,2.08611,1.50311,1.52077e-05,1.52077e-05,1.52077e-05
88,457.888,0.78948,0.85784,1.37923,0.83938,0.48346,0.53435,0.26768,1.83377,2.07661,1.50478,1.43596e-05,1.43596e-05,1.43596e-05
89,462.853,0.99043,0.92431,1.4795,0.83938,0.48346,0.53435,0.26768,1.83377,2.07661,1.50478,1.34879e-05,1.34879e-05,1.34879e-05
90,467.85,0.64873,0.64223,1.01078,0.83938,0.48346,0.53435,0.26768,1.83377,2.07661,1.50478,1.25927e-05,1.25927e-05,1.25927e-05
91,472.846,0.45934,0.52009,0.89122,0.83938,0.48346,0.53435,0.26768,1.83377,2.07661,1.50478,1.16739e-05,1.16739e-05,1.16739e-05
92,478.01,0.71221,0.70002,0.99339,0.83644,0.48472,0.53533,0.27843,1.83606,2.03051,1.48904,1.07315e-05,1.07315e-05,1.07315e-05
93,482.999,0.47722,0.45906,0.98563,0.83644,0.48472,0.53533,0.27843,1.83606,2.03051,1.48904,9.76562e-06,9.76562e-06,9.76562e-06
94,487.957,0.5483,0.43527,0.88563,0.83644,0.48472,0.53533,0.27843,1.83606,2.03051,1.48904,8.77613e-06,8.77613e-06,8.77613e-06
95,492.909,0.4348,0.45202,0.89787,0.83644,0.48472,0.53533,0.27843,1.83606,2.03051,1.48904,7.76308e-06,7.76308e-06,7.76308e-06
96,498.013,0.43951,0.50768,0.96141,0.84125,0.46489,0.55784,0.3054,1.75484,1.95711,1.44216,6.72648e-06,6.72648e-06,6.72648e-06
97,502.993,0.68964,0.60831,1.04831,0.84125,0.46489,0.55784,0.3054,1.75484,1.95711,1.44216,5.6663e-06,5.6663e-06,5.6663e-06
98,508.032,0.51787,0.48692,0.90992,0.84125,0.46489,0.55784,0.3054,1.75484,1.95711,1.44216,4.58257e-06,4.58257e-06,4.58257e-06
99,513.015,0.47574,0.46532,0.90953,0.84125,0.46489,0.55784,0.3054,1.75484,1.95711,1.44216,3.47528e-06,3.47528e-06,3.47528e-06
100,518.122,0.55762,0.49181,1.00233,0.83612,0.46667,0.60766,0.34052,1.70868,1.87701,1.41376,2.34442e-06,2.34442e-06,2.34442e-06
